                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91461,                0.58758,                 1.1573,                0.99917,                      1,                  0.995,                0.80063,                0.80609,                0.43883,                 1.1389,              0.0011337,              0.0011337,              0.0011337
                     37,                0.89888,                0.56628,                 1.1513,                 0.9992,                      1,                  0.995,                0.80527,                0.83018,                0.44922,                 1.1484,               0.001109,               0.001109,               0.001109
                     38,                0.86804,                0.57076,                 1.1123,                0.99919,                      1,                  0.995,                0.79695,                0.78088,                0.43575,                 1.1325,              0.0010842,              0.0010842,              0.0010842
                     39,                0.88103,                0.56393,                 1.1281,                 0.9992,                      1,                  0.995,                0.81166,                0.78731,                0.44129,                 1.1432,              0.0010595,              0.0010595,              0.0010595
                     40,                0.90666,                0.58668,                 1.1826,                0.99926,                      1,                  0.995,                0.79367,                0.79906,                0.45088,                 1.1487,              0.0010347,              0.0010347,              0.0010347
                     41,                0.83745,                0.53744,                 1.0758,                0.99929,                      1,                  0.995,                0.82887,                0.70163,                0.42608,                  1.077,                0.00101,                0.00101,                0.00101
                     42,                0.90173,                 0.5634,                 1.1242,                0.99935,                      1,                  0.995,                0.81728,                 0.7156,                0.41432,                 1.0875,             0.00098525,             0.00098525,             0.00098525
                     43,                0.87869,                0.56439,                 1.1468,                0.99937,                      1,                  0.995,                0.80582,                0.71019,                0.40188,                 1.0867,              0.0009605,              0.0009605,              0.0009605
                     44,                 0.8914,                0.55521,                 1.1333,                 0.9993,                      1,                  0.995,                0.81208,                0.69725,                 0.3828,                  1.071,             0.00093575,             0.00093575,             0.00093575
                     45,                0.87614,                0.52435,                 1.0976,                0.99926,                      1,                  0.995,                0.81725,                0.72753,                0.38125,                 1.0827,               0.000911,               0.000911,               0.000911
                     46,                0.81872,                0.54262,                 1.1165,                0.99873,                      1,                  0.995,                0.79975,                 0.7663,                0.38912,                  1.102,             0.00088625,             0.00088625,             0.00088625
                     47,                0.83712,                0.53536,                 1.0828,                0.99907,                      1,                  0.995,                0.80034,                0.77281,                0.38419,                   1.13,              0.0008615,              0.0008615,              0.0008615
                     48,                0.87519,                0.51565,                 1.0829,                0.99917,                      1,                  0.995,                0.81748,                 0.7353,                0.37926,                 1.1018,             0.00083675,             0.00083675,             0.00083675
                     49,                 0.8247,                0.50305,                 1.1038,                0.99931,                      1,                  0.995,                0.82031,                0.74307,                0.39043,                 1.1085,               0.000812,               0.000812,               0.000812
                     50,                 0.8442,                0.52463,                 1.1182,                0.99934,                      1,                  0.995,                0.82437,                0.74682,                0.39238,                 1.1116,             0.00078725,             0.00078725,             0.00078725
                     51,                0.87285,                 0.5276,                 1.1279,                0.99938,                      1,                  0.995,                0.83843,                0.65274,                0.36227,                 1.0485,              0.0007625,              0.0007625,              0.0007625
                     52,                0.82508,                0.51768,                  1.078,                0.99937,                      1,                  0.995,                0.84482,                0.64781,                0.35414,                 1.0489,             0.00073775,             0.00073775,             0.00073775
                     53,                0.79218,                0.49344,                 1.0698,                0.99937,                      1,                  0.995,                 0.8416,                0.64689,                0.35921,                 1.0508,               0.000713,               0.000713,               0.000713
                     54,                0.77261,                0.48418,                 1.0974,                0.99936,                      1,                  0.995,                0.82693,                0.67484,                0.35158,                 1.0659,             0.00068825,             0.00068825,             0.00068825
                     55,                0.83448,                0.51919,                 1.1104,                0.99938,                      1,                  0.995,                0.83171,                0.68897,                0.33286,                 1.0698,              0.0006635,              0.0006635,              0.0006635
                     56,                0.83347,                 0.4784,                  1.106,                0.99939,                      1,                  0.995,                0.83336,                0.69203,                0.33281,                 1.0696,             0.00063875,             0.00063875,             0.00063875
                     57,                0.78892,                0.44781,                 1.0575,                0.99937,                      1,                  0.995,                0.84319,                0.65939,                0.32495,                 1.0536,               0.000614,               0.000614,               0.000614
                     58,                0.82305,                0.49185,                 1.1064,                0.99939,                      1,                  0.995,                0.83312,                0.65458,                0.32979,                  1.048,             0.00058925,             0.00058925,             0.00058925
                     59,                0.78576,                0.45858,                 1.0889,                0.99941,                      1,                  0.995,                0.82684,                0.68478,                0.33865,                 1.0538,              0.0005645,              0.0005645,              0.0005645
                     60,                0.80261,                0.46179,                  1.095,                 0.9994,                      1,                  0.995,                 0.8515,                0.63876,                0.32344,                 1.0353,             0.00053975,             0.00053975,             0.00053975
                     61,                0.78552,                  0.474,                 1.0762,                 0.9994,                      1,                  0.995,                0.85761,                0.63587,                0.32124,                  1.035,               0.000515,               0.000515,               0.000515
                     62,                0.74009,                0.43818,                 1.0444,                0.99939,                      1,                  0.995,                0.85209,                0.63595,                0.32112,                 1.0327,             0.00049025,             0.00049025,             0.00049025
                     63,                0.75565,                 0.4522,                 1.0724,                0.99938,                      1,                  0.995,                0.85622,                0.61407,                0.31657,                 1.0213,              0.0004655,              0.0004655,              0.0004655
                     64,                0.74119,                0.45503,                 1.0564,                0.99937,                      1,                  0.995,                0.84413,                0.63342,                0.31993,                 1.0296,             0.00044075,             0.00044075,             0.00044075
                     65,                0.71778,                0.42606,                  1.001,                0.99936,                      1,                  0.995,                 0.8568,                0.61296,                0.31267,                 1.0176,               0.000416,               0.000416,               0.000416
                     66,                0.70298,                0.42215,                 1.0292,                0.99935,                      1,                  0.995,                0.85489,                0.60633,                0.30737,                 1.0149,             0.00039125,             0.00039125,             0.00039125
                     67,                 0.7423,                0.43316,                 1.0459,                0.99937,                      1,                  0.995,                0.85589,                0.59809,                0.29897,                 1.0142,              0.0003665,              0.0003665,              0.0003665
                     68,                0.69754,                0.38923,                 1.0431,                 0.9994,                      1,                  0.995,                 0.8497,                0.60271,                0.29666,                 1.0165,             0.00034175,             0.00034175,             0.00034175
                     69,                0.72407,                0.42797,                  1.053,                0.99942,                      1,                  0.995,                0.84387,                0.61912,                0.30133,                 1.0234,               0.000317,               0.000317,               0.000317
                     70,                0.73139,                0.43299,                 1.0272,                0.99942,                      1,                  0.995,                 0.8549,                0.58744,                0.28444,                 1.0115,             0.00029225,             0.00029225,             0.00029225
                     71,                0.65996,                0.49921,                 1.0372,                 0.9994,                      1,                  0.995,                0.86362,                0.58306,                0.28852,                  1.008,              0.0002675,              0.0002675,              0.0002675
                     72,                0.61001,                0.43681,                  1.052,                0.99937,                      1,                  0.995,                0.86338,                 0.5865,                0.30668,                 1.0091,             0.00024275,             0.00024275,             0.00024275
                     73,                0.61336,                 0.4169,                 1.0199,                0.99935,                      1,                  0.995,                0.86681,                0.57392,                 0.3367,                 1.0008,               0.000218,               0.000218,               0.000218
                     74,                0.60953,                0.44097,                 1.0034,                0.99935,                      1,                  0.995,                0.87312,                0.57648,                0.34007,                0.99965,             0.00019325,             0.00019325,             0.00019325
                     75,                0.61892,                0.41864,                 1.0457,                0.99936,                      1,                  0.995,                0.86742,                0.58211,                0.32143,                0.99988,              0.0001685,              0.0001685,              0.0001685
                     76,                0.62461,                0.41569,                  1.003,                0.99939,                      1,                  0.995,                0.86766,                0.57935,                0.30371,                 1.0012,             0.00014375,             0.00014375,             0.00014375
                     77,                0.61399,                0.40079,                 1.0001,                0.99939,                      1,                  0.995,                0.86144,                0.57818,                0.30305,                 1.0004,               0.000119,               0.000119,               0.000119
                     78,                0.62811,                 0.4039,                 1.0062,                0.99939,                      1,                  0.995,                0.86099,                0.57396,                0.30434,                0.99839,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.57891,                0.37879,                0.96888,                0.99939,                      1,                  0.995,                0.86067,                0.56814,                0.30359,                0.99458,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.58488,                0.39742,                 1.0418,                 0.9994,                      1,                  0.995,                0.86001,                0.56454,                0.30149,                0.99295,              4.475e-05,              4.475e-05,              4.475e-05
